Program Start at Thu Sep 15 15:10:53 2022

Starting N=59 with k=6
Starting... 0, 1, 2, 3, 23, 57, 
Starting... 0, 1, 2, 3, 24, 25, 
Starting... 0, 1, 2, 3, 24, 27, 
Starting... 0, 1, 2, 3, 24, 29, 
Starting... 0, 1, 2, 3, 24, 30, 
Starting... 0, 1, 2, 3, 24, 31, 
Starting... 0, 1, 2, 3, 24, 33, 
Starting... 0, 1, 2, 3, 24, 34, 
Starting... 0, 1, 2, 3, 24, 36, 
Starting... 0, 1, 2, 3, 24, 40, 
Starting... 0, 1, 2, 3, 24, 42, 
Starting... 0, 1, 2, 3, 24, 44, 
Starting... 0, 1, 2, 3, 24, 45, 
Starting... 0, 1, 2, 3, 24, 47, 
Starting... 0, 1, 2, 3, 24, 48, 
Starting... 0, 1, 2, 3, 24, 52, 
Starting... 0, 1, 2, 3, 24, 57, 
Starting... 0, 1, 2, 3, 24, 58, 
Starting... 0, 1, 2, 3, 25, 26, 
Starting... 0, 1, 2, 3, 25, 28, 
Starting... 0, 1, 2, 3, 25, 29, 
Starting... 0, 1, 2, 3, 25, 30, 
Starting... 0, 1, 2, 3, 25, 32, 
Starting... 0, 1, 2, 3, 25, 33, 
Starting... 0, 1, 2, 3, 25, 35, 
Starting... 0, 1, 2, 3, 25, 39, 
Starting... 0, 1, 2, 3, 25, 41, 
Starting... 0, 1, 2, 3, 25, 43, 
Starting... 0, 1, 2, 3, 25, 44, 
Starting... 0, 1, 2, 3, 25, 46, 
Starting... 0, 1, 2, 3, 25, 47, 
Starting... 0, 1, 2, 3, 25, 51, 
Starting... 0, 1, 2, 3, 25, 56, 
Starting... 0, 1, 2, 3, 25, 57, 
        FOUND 0, 1, 2, 3, 24, 30, 
    Finished... 0, 1, 2, 3, 8, 23, 
    Finished... 0, 1, 2, 3, 9, 33, 
    Finished... 0, 1, 2, 3, 15, 56,     Finished... 0, 1, 2, 3, 18, 49, 
